gene,R_E60_1,R_E60_2,R_E60_3,R_E60_4,R_D1_1,R_D1_2,R_D1_3,R_D7_1,R_D7_2,R_D7_3,R_D28_1,R_D28_2,R_D28_3,R_Y1
RAVER1,19.286432,19.157566,23.429012,11.987606,28.274605,28.421621,21.984602,18.130184,21.781368,20.844421,12.737849,12.967898,17.707338,12.441379
PIN4,32.675549,31.840355,30.698605,31.490635,42.459087,32.689499,45.655289,38.518478,51.120094,40.317177,36.38295,48.526062,47.761219,66.334114
PFAS,6.837946,6.567006,8.318075,3.536908,11.254303,9.278974,12.622559,5.651068,8.096132,7.491539,2.073326,1.454088,5.793879,3.874512
LOC101113823,0.015119515,0.036396196,0.103621554,0.097545466,0.544007728,0.54390714,0.828715532,6.09954669,9.753197397,3.542199516,4.308951847,3.40864997,9.173250761,5.95830133
LOC105608222,2.701611539,2.850942266,3.835274974,1.702688074,5.239555636,6.94104699,5.3977025,3.604508251,9.751688319,7.895082055,1.849591933,1.688904672,4.274939141,2.38210241
VSTM4,0.568131047,0.784254397,0.736312412,0.586878795,0.124882331,0.051499742,0.22414816,0.140891062,0.024861516,0.036939917,4.446198609,3.304916411,0,0.015799138
ITPA,38.20063061,43.6979319,45.84015332,40.47429422,51.29453703,44.82099628,53.28829279,47.42847219,55.60678036,45.7166424,35.7577731,33.55895875,42.73009806,48.92477055
ENKD1,6.40468,6.214789,6.162449,7.095133,8.205238,5.975766,5.820212,5.262664,7.29901,5.833927,3.448313,4.307306,13.042357,3.528855
PLEKHO1,7.181674397,8.703025773,7.92807238,4.242799608,7.955380794,9.531560058,9.670758547,8.401695808,8.740826563,9.729521112,21.01087419,19.17884764,2.475533373,1.762537639
SLC6A9,0.588651,1.019792,1.048854,0.411352,1.931912,1.614672,6.087368,9.588956,12.743423,7.794263,5.572515,5.99642,8.937002,7.370362
ADRM1,33.29321992,34.39847346,33.44485137,38.63817642,48.86602282,58.30025176,52.97556553,53.02519507,52.01936755,51.05908186,29.02663555,35.74711966,53.89533851,50.28099474
MTMR6,8.044386069,7.065756698,7.018586923,7.31778083,9.494094644,8.827008988,8.060900284,10.27915562,10.3809299,10.26247516,10.93433052,13.68817552,12.56759106,13.43700007
NEK2,5.553658,5.49053,7.974514,2.790286,12.582446,2.640975,4.618584,10.809503,13.763135,15.845448,7.463377,8.631515,13.560876,12.304842
RASL12,0.072605,0.098787,0.124686,0.130746,0.044759,0.021768,0.188835,0.046604,0.047496,0.179345,8.155504,3.922262,0.028198,0
ZFYVE16,5.927422039,2.964217927,3.78978578,4.587562678,3.710242202,2.266635184,3.167056338,3.015525151,1.536085942,2.230235935,4.567245642,4.542688719,2.089252792,2.251654508
CHTF18,3.789698,3.501428,5.673184,3.162364,7.854605,2.056829,3.916603,3.74903,5.556218,6.703233,1.366822,1.221772,4.3937,1.719827
C2H9orf40,7.612143,8.583197,9.891089,4.384892,9.202887,9.481217,10.465015,8.870618,13.475364,13.970895,8.560245,9.254107,10.732806,14.827372
GMPS,9.0228402,9.660890661,9.348987554,8.583904975,11.29527909,11.49466737,9.954817004,11.16957689,13.63884127,10.1454667,11.28228487,14.29382923,11.56515235,14.22801343
FDFT1,30.67317567,38.96440938,32.01145307,18.72465723,46.88626723,17.43873235,16.23899567,33.59230369,29.92817686,30.98838467,25.76784154,20.54513996,23.39621718,31.72089991
NAB2,14.8036,17.243729,16.6751,10.38381,15.158452,17.257002,13.336233,16.991777,18.924194,16.936533,17.911501,18.058413,13.602113,11.687457
YEATS2,10.99429027,8.454990729,9.782638557,6.133867564,8.985283325,10.04980483,7.729427429,5.377509391,5.401057242,5.988455073,4.377263004,4.672632061,3.204305674,1.72155842
OPA1,7.788962,3.38787,4.666479,4.59223,6.39174,4.60667,6.645843,9.269841,5.615014,6.434624,7.829822,10.405056,11.38988,13.342966
TM9SF4,13.531466,12.188019,13.682143,9.77053,18.628897,21.903633,17.543827,14.439864,16.94952,13.345165,12.243109,12.07748,14.948615,10.847373
TCHP,6.228647,5.340239,5.933052,5.914245,8.600469,7.557844,7.311188,4.701846,4.540124,4.555178,3.418971,4.049754,4.548964,5.233898
ABCC10,16.201378,12.610079,19.42239,12.132253,18.968487,20.744089,14.968005,9.688853,10.857496,9.485141,4.068284,3.209519,7.236458,4.873872
TMEM242,25.26758,25.519159,36.477325,24.521523,26.981544,30.408108,23.871082,19.173231,23.674114,19.048582,17.043489,18.470793,20.192675,20.942118
MARVELD1,4.650479,4.221684,6.934052,3.457448,5.218025,10.004607,5.913179,5.849049,7.564485,4.110549,11.154547,7.36587,1.786084,0.936223
CDYL,17.365437,19.781321,15.809223,27.087786,15.447112,15.200974,12.600669,16.09358,11.809875,13.538059,12.930646,11.379144,5.871452,5.634528
DAXX,18.287928,17.820179,20.014927,14.095524,25.862337,25.416309,20.354601,21.1593,24.952831,24.525131,17.013355,22.403708,28.378855,28.080587
LOC101117953,11.428849,11.820415,11.478081,8.50789,17.775875,12.376498,14.197042,16.664984,16.887775,14.372209,12.306372,12.954739,11.294136,14.490021
LOC106991433,1.071684,1.137606,0.967896,2.291108,0.236769,0.545231,0,0.173818,0.019311,0.254757,0.867697,1.625872,0.426029,0.31809
NUP210,2.234197,1.088539,1.637362,0.610933,1.6024,1.029152,0.428319,3.498258,3.758354,4.442894,0.656721,0.698352,0.148628,0.229696
LOC101116302,0,0.18429,0.088441,0.131866,0.199634,0,0.213989,0.574723,0.145443,0.066669,0.095416,0.12804,0.076174,0.45153
GTF2F1,32.315369,40.446735,33.562103,45.419857,43.842491,44.103943,41.63858,39.251747,43.018963,39.923168,33.398331,30.95216,31.962111,29.106056
C25H1orf131,6.11394,5.407654,6.221393,6.089132,8.093261,7.037148,8.763475,5.862672,7.792415,8.024427,4.292778,4.831553,6.899082,8.662613
HIPK2,1.982504,1.535096,1.634317,1.607453,1.408623,1.47754,0.874667,1.977187,1.269993,1.89593,1.31461,1.292859,0.796141,0.857068
RXRB,26.98373569,31.01215709,25.83540436,30.39296452,29.91742344,41.25410667,32.96549946,26.50261457,30.36226038,24.95729657,17.32733008,17.79195301,30.2447865,21.45144058
ICMT,10.512144,11.782799,12.725609,10.656416,18.055687,19.3871,14.315114,13.368616,16.310133,13.934868,11.702818,11.671982,11.724638,9.442575
ADCK5,23.399897,23.656208,28.353266,22.72418,25.524454,31.74157,33.134579,15.187121,26.603003,22.546667,7.909875,7.659222,26.989635,18.60816
USF1,14.289219,16.851978,15.699873,19.258675,16.711796,19.097427,15.708362,15.904801,14.361467,13.826787,11.162024,12.478972,10.329836,9.870217
LOC106991183,14.713571,11.851635,14.997727,11.450899,12.957089,6.753901,14.209784,14.801045,18.987276,17.766191,17.450745,15.403493,20.665443,16.271122
TBL3,6.83237,6.699981,8.198064,7.240836,12.411347,20.509645,18.202051,12.574408,17.204821,12.955458,6.474903,8.17551,13.809357,9.588825
SNRPE,14.243122,13.9842,18.567898,13.396848,20.397322,19.555292,19.575197,14.160047,20.838303,18.329548,12.223834,16.249271,19.53726,23.082464
LZTS1,2.533925,1.555889,2.120961,0.863131,8.155184,3.708378,3.145656,7.702698,11.628723,7.928537,6.09615,4.292319,6.42141,1.201096
WDR45B,10.045768,11.727237,11.184106,12.419489,10.456797,11.097662,8.158013,7.684643,7.908172,8.614317,7.474403,9.730169,7.484054,7.707729
MED1,5.581666786,4.519427221,4.893328875,3.192370773,5.541716239,11.03574877,4.651728794,5.401779938,5.504656581,4.397796293,6.802314738,7.67433547,5.256026205,5.149652559
NFKBIL1,13.40807,18.801226,13.827792,27.119997,9.148125,8.564487,9.936062,8.266098,9.286012,6.824132,9.162391,6.53796,8.55759,5.878652
IL36G,0,0,0,0,0.102767491,0,0,1.487763648,0.270876586,0.705630496,2.928903357,9.68434268,0.524753021,0.391670822
TMEM259,57.98357,58.577026,56.335236,68.587173,65.36631,80.073959,67.562614,70.479256,81.999481,77.52076,61.98127,70.337616,79.493599,53.660854
TSEN54,17.16601855,22.08591671,20.88659744,15.63855181,20.58792245,31.97522337,23.54873956,17.33350515,23.28154728,18.54507208,10.13259385,11.28439784,24.46453705,17.25499167
